text,label
Diese für uns Europäer bedrohlichen Äußerungen haben hier nichts zu suchen. Die Polizei hat völlig richtig gehandelt. Soll sie vorher noch abfragen ob und wie die Äußerungen gemeint waren? Die sollen sich hier benehmen und sonst ganz schnell ab dahin woher sie gekommen sind. Allahu Akbar hat hier in der EU nichts zu suchen. Denken wir mal an all' die verheerenden Attentate.,1
"pass nur gut auf stolzer ami, eines Tages kommt doch ein Lee Harvey Oswald II. und macht dem ganzen schaurigen Geschehen ein Ende.",1
"Der bayerische ""Gockel"" mit seinem ""populistischen Gebalze"" scheint sich wohl immer noch im politischen ""Delirium"" zu befinden. Man beachte die wiederholte Wortwahl - will!",1
Sollte ein Notar beim Staat in A13 anfangen und ein Gehalt/Monat von unter 4000 Euro erhalten? Ich befürchte ernsthafte Nachwuchssorgen. Eine angedichtete hohe Staatspension kann noch nicht einmal für mehr Akzeptanz sorgen.,0
"Wenn schon, dann Chinesisch und Englisch. Tayfun Keltek hat offenbar gar keinen Schuß gehört.",0
Schöne lange Haftstrafe von mehreren Jahren !!!  Danach überlegt sich diese Öko-Terroristin genau wann und wo sie noch mal auf Bäume steigt und ob sie Beamte beleidigt und weitere Straftaten begeht.  Das Urteil muss ein abschreckendes Signal haben !!!  Übrigens: Die armen Eltern von so einem misslungenem Kind. Wirklich nicht zu beneiden. ,1
"...oder ein ungesundes ! In jeden Fall ein hohes, was aber nicht unbedingt gut ist. Im Moment mit diesem klinischen Narzissten auf dem Posten sieht man mal, wie sehr das nach hinten losgehen kann, aber es blockiert auch in weniger pathologischen Fällen mögliche Entscheidungen.  Ob im amerikanischen Sprachgebrauch völlig untergegangen ist, daß ""Ego"" auch eine negative Konnotation hat?  ",0
"Stoppt die Überbevölkerung, dann erledigt sich der Klimawandel von alleine. Alles andere ist das Pferd am Schweif aufgezäumt.",0
Aha wieder so ein verwöhntes Jüngelchen das mit Papas Kohle ein Studium zum Berufspolitiker gemacht hat und ebenso mit Papas Seilschaften einen bequemen Stuhl unter den Hintern bekam. Keine ahnung vom Leben draußen aber die Kauleiste weit aufreissen. Wette an Rente mit 60 für Beamte(oder noch früher)wird der sicher nicht rütteln.,1
"Heischrals,  ich kann Ihnen versichern, dass die „Gremien“ wie der Ausschuss für Umwelt und Bau umfassend durch die Stadtverwaltung informiert wurde. So wurde vor der Entscheidung für ein Mischsystem deutlich gemacht, dass a) ein Mischsystem abgelehnt wird und nicht zur Auswahl steht und b) dass auch die Kommunen, die jetzt noch über ein Mischsystem verfügen, früher oder später umstellen, sich entscheiden müssen. ",0
Ein Grund mehr die AfD zu wählen.,0
Wo soll das Ordungsamt denn sonst noch gleichzeitig sein? Immer mehr Mitbürger halten sich an gar keine Vorgaben oder auch nur normale Rücksichten mehr. Da helfen auch keine lächerlich geringen Geldstrafen!  ,0
"Wie immer. Wo auch saniert wird  gerade im Strassenbau lässt es sich nicht vermeiden: Parkplätze weg,Umleitungen , Schmutz und Dreck. Schließlich wollen die Anlieger das Schmutz und Regenwasser entsorgt werden können. Hier zu sagen, das große Verluste eingefahren werden, wiederholt sich immer wieder. Pleite gegangen ist keiner.",0
"36% sind ""deutsche"" Staatsbürger. Sieht man ja schon an den Vornamen. Gebt endlich allen kriminellen Ausländern einen deutschen Pass, dann sind wir das Problem los und die Statistik ist sauber. Die schon länger hier lebenden Bio-Deutschen bekommen im Gegenzug einen Duldungsstatus, der ihnen einen dauerhaften Aufenthalt zusichert. Hat sich ja bewährt und der Familiennachzug ist auch schon erledigt. Integration kann so einfach sein und die Gesellschaft wird noch bunter.  Ich freu mich drauf! ",1
"P.S.: Die Antwort stößt selbst mir als Comic-Fan und mit dieser Generation Superhelden aufgewachsen als unangemessen auf. Aber ich fürchte im Zuge des Wahns nach All-In-zockenden Irren in Führungspositionen (Trump, Erdogan, BoJo) schadet es einem Politiker nicht mehr, sich mit fiktiven Charakteren auf eine Stufe zu stellen, die wegen ihrer Zerstörungswut und Dummheit berühmt sind. In dieser Hinsicht vermisse ich die alten Zeiten. ",1
"Ein teuer Automatismus! Weder bei der planenden Stadtverwaltung noch beim ausführenden Amt für Stadtgrün, Umwelt und Klima bzw. dessen Auftragnehmer hat auch nur einer mal nachgedacht, ob diese Maßnahme überhaupt sinnvoll ist. So wurde ein dreistelliger (oder gar vierstelliger) Betrag zum Fenster rausgeschmissen. Hoffentlich überlebt das Ahornbäumchen diese Aktion wenigstens!",0
"Rose ist nur Teil des Borussenproblems. Unter Hecking war mir nicht klar ob das regelmäßige Abkacken in der Rückrunde an Hecking oder am Charakter der wichtigen Mannschaftsspieler liegt. Scheinbar liegt es wohl eher am Charakter der Mannschaft wie gegen Wolfsberg zu sehen. Viele Indianer, aber kein Häuptling auf dem Platz.",1
"Mit Demokratie hat das wohl nichts zu tun. Angeblich dürfte man seine Meinung frei äußern. Aber wers tut, wird rausgemobbt.",0
"Jaja, so wird man in Deutschland verarscht..... Was nützt es wenn ich € 100.000,-- bei den Zinsen spare, aber gleichzeitig € 150.000,-- mehr für die Immobilie ausgeben muss als vor 15 Jahren. Da habe ich nichts gespart. Im Gegenteil, früher hätte ich € 50.000,-- gespart. Am Ende zählt nur die Gesamtbelastung, und die ist trotz niedriger Zinser weiter gestiegen. Wem ich das Geld bezahle, den Banken oder der Baufirma ist letztlich egal.",0
"Auch so eine Canaille in Nadelstreifen, m.E.  Ich denke, die Deutsche Bank ist ein übles Schurkenunternehmen.",1
"Der Verein FC Köln hat es nie geschafft, sich tatsächlich von diesen idiotischen, asozialen, gewalttätigen  Krawallmachern zu distanzieren oder sie aus dem Verein auszuschließen. Vielleicht will er das ja auch gar nicht.  Und deshalb passen diese Typen auch ganz besonders gut zum FC. Ich wäre heilfroh, wenn die Kölner sofort wieder abstiegen.   Wer braucht schon solche Vereine in der BL? Na ja, außer als 3-Punkte-Lieferanten keiner :-)))))))",1
"Wirklich niedlich wie hier 3 Vollidioten aufgebraucht werden. Die AFD ist schuld und überhaupt. Lustig daran finde ich, dass genau diese Mitkommentatoren einem gerne den Alluhut aufsetzen. Sehr suspekt das ganze. ",1
"Höhenflug der Grünen, warum eigentlich? https://www.achgut.com/artikel/danke_angela_und_annalena_und_e.on ",1
"Mal ganz im Ernst. Das ist pervers. Sie wird gerettet und frisst anschliessend ausgelegte Köder mit Rattengift.  Ich habe diese Tiere früher in meiner Jugend auf einem Bauernhof gejagt, weil sie ausgesprochene Schädlinge waren. Und an dieser Einstellung hat sich bis heute nichts geändert.  So schlimm es für den ein oder anderen Menschen klingen mag - ich hätte das Tier sofort getötet. Und das hat überhaupt nichts mit fehlender Herzlichkeit zu tun. Punkt.",0
"Wie dämlich sind die denn? Auf der IAA stehen doch fast nur noch Batterieautos, also genau das was die Ökos so gerne auf den Straßen sehen würden.",1
Die gute Nachricht: In Innenstädten ausdrücklich verboten = ansonsten erlaubt.  Warum auch nicht?,0
"Im Wahlkampf skandierte der blonde Selbstdarsteller: ""America first"". Nun wissen wir was er damit sagen wollte: Gestern stand Amerika noch vor dem Abgrund, Heute ist es schon einen Schritt weiter.",1
Politiker sind alle Verbrecher am Volk Wenn es die Todesstrafe in Deutschland gebe hätte die alle verdient Zu deren Glück gibt es die nicht,1
"Nicht aufregen ;-)  Es stammt mit Sicherheit von einer Frauenbeauftragten! Was mal wieder beweist, dass Frauen noch nicht mal darauf alleine kommen. ;-)   Die Barmer hat Recht, es gibt einfach Themen, die bei Frauen einfach  totgeschwiegen werden! Was wäre doch ne Runde mit den Jungs, in der man nicht stundenlang übers ""runterholen"" fabuliert. :-D  Cheers ",1
"Frage: Wer ist Rezo? Hat er einen Schulabschluss? Wenn ja, welchen? Hat er eine Ausbildung? Hat er jemals ""gearbeitet""? Anstatt ihn jetzt auch noch ins Fernsehen zu bringen, sollte man alles von dem  löschen!!!! Und jetzt noch was für die, die jetzt plötzlich die Grünen in den Himmel loben: Die Grünen sind eine Verbotspartei (m. M.)! Die bringen uns nicht weiter, eher das Gegenteil wird der Fall werden!!!",1
Ist Daimler mit Scheuers Arbeit unzufrieden? ,0
Migrationspackt ...  ...läuft!,1
Zeppeline fliegen nicht sondern fahren wie Ballone.,0
Betreibt der autor dieses artikels irgendein bashing? Oder ist es einfach nur ignoranz der fakten oder wird er nur für eine schlechte leistung bezahlt?  Bayer hat es genauso in der eigenen hand wie gladbach...man muss nur 2 tore mehr schießen... und außerdem gegen wen spiel denn die direkten konkurrenten???,1
"Die politically incorrectness scheint hier das größere Problem zu sein denn, sofort sind sie zur Stelle, die politischen Sittenwächter. ",1
"Wir sollen uns in den Finger schneiden und uns dem Ungewissen der ukrainischen Gaspassage überlassen, damit Herr Porotschenko was an der Krim drehen können soll?  Ein völlig illusorisches Ziel.  Nach allem  sollen wir wieder die Einschränkungen tragen, während der Herr im Weißen Haus die Lasten verteilt und den Nutzen zieht.  Danke, nein, Herr Grenfell !",0
Und Hundehalter scheren sich einen dreck drum und lassen ihre Tier da scheissen.Alles schon gesehen und auch das der Mist da liegen bleibt.,1
https://stop-kirchensubventionen.de/  Das zur Kirchensteuer... ,1
"""Kontrollen an deutsch-schweizerischer Grenze""  prima Idee Herr Seehofer. Gott sei Dank hat Deutschland, aufgrund der günstigen geographischen Lage, ja auch nur einen Nachbarstaat,  nämlich die Schweiz. Das nenne ich mal eine richtig richtig  intelligente Lösung. ",0
Soso! Sagt wer? Andrea Nahles !,0
"Die Mutter hat selbst durch diese Unsinnige Benennung ihres Kindes für lebenslangen Spott gesorgt! Das war erst der erste Streich.......  Daß sie sich danach darüber aufregt, paßt genau zu dieser Art Mütter.  Hätte sie vor Namensgebung ihr Hirn eingeschaltet, wäre dem Kind viel erspart geblieben. Das hat durch sie noch viele Jahre mit Hohn und Spott vor sich.... Danke, Mama.....",1
"Das Ergebnis tut gut, auch weil Ehliz nicht (zurück) kam, sah und siegte. Wird auch die Nürnberg Fans freuen.",0
"Die Rubrik ""Brauchtum"" finde ich sehr passend.  Im Hinblick auf das Kölner Dreigestirn, welches schon immer aus Männern besteht, sollte man hier jetzt einen der beiden Prinzen zur Jungfrau machen. Zu zwei Prinzessinnen fällt mir gerade nichts ein, was nicht zu einer Ablehnung des Kommentares führen würde. ",0
"Achso, Meinungsfreiheit...Warnung... https://www.waz.de/wirtschaft/post-chef-appel-warnt-vor-rattenfaengern-bei-der-europawahl-id217034937.html Postchef Frank Appel führte mit dem 232-fachen Einkommen die Rangliste der Konzernchefs an. https://www.zeit.de/wirtschaft/2018-07/dax-konzerne-gehalt-einkommensgerechtigkeit",1
"""Damit wäre er der schlimmste Serientäter der US-Geschichte."" Was, 90 Menschen auf dem Gewissen, da lacht ja jeder einzelne US Präsident drüber! Und auch wohl der Friedensnobelpreisträger Henry Kissinger kann da wohl nur müde drüber lächeln.",0
"Ein Land mit Angsträumen, solche jetzt auch an Bahnhöfen, wo noch demnächst? ""in dem wir gut und gerne leben""?",0
"Polizei und AfD eint ein gemeinsames Ziel: Die Sicherstellung bzw. Wiederherstellung von Recht und Ordnung. Das passt einfach zusammen.  Empfohlene Lektüre: Das Buch der griechisch-stämmigen Polizeikommissarin Tanja Kambouri ""Deutschland im Blaulicht"".  Geschrieben aus der täglichen Praxis eines Polizistinnenlebens.  ",1
"Die Ditib Mosche in Köln wurde mit Faschisten Grüßen -WolfsPudelgruß- vielen roten Fahnen, türkische Faschisten die die Straße mit Polizeiband absperrten eröffnet. Will der Bürgermeister sich mit solchen Leuten an einen Tisch setzen? Ditib gehört verboten!",1
"Wer die Nachrichten zu diesem Thema und die Entwicklung in den letzten Jahren verfolgt hat, weiss, dass Obman Klos anscheinend wohl in seiner eigenen Realitäts-Blase lebt. Oder er gibt nur das wieder, was er p.c. sagen soll. Ist wie in der Politik.......nichts sehen, nichts hören, nichts sagen.",1
Eine BRD Regierung aus 30* Union und 20+ *PD hat weder die Mehrheit des deutschen Volkes an Zustimmung noch die Ahnung welche Ränkespiele im Nahenosten ablaufen.  Wer keine Ahnung hat - sollte einfach die F........e halten.  Nicht in meinem Namen handelt diese Koalition zu Berlin  ............sondern auf Grundlage mir fremder Mächte und Einflüsse.  Haltet Euch aus der Nummer raus. ,1
"Dieser ""Rotzlöffel"" mit der großen Klappe sollte erst einmal selber in irgendeinem Berufsleben etwas leisten, bevor er die Menschheit mit seinen Geistesergüssen beglückt!",1
"Und wo bleiben ""Diverse""?",0
Wenn er nicht seine bekannten Eltern hätte und natürlich RTL (!!!!!!!!) wäre dieser Typ ein NICHTS. Komik sieht anders aus. Der Mann ist einfach nur RTL-Zuschauerlike.,0
Hier noch ein Fall aus dem ÖR:  https://www.youtube.com/watch?v=bxJtT_rwf0Y  Nicht nur die Printmedien....,1
"Während unsere Städte ungehindert von einem Migrantenmob geplündert werden, schicken unsere Politiker die dort fehlende Polizei wieder in den Hambacher Forst, um RWE den Allerwertesten zu vergolden.   Aber wehe, wehe, wehe! Wenn ich auf das Ende sehe!! Wilhelm Busch",1
"""Denn die Flüchtlinge wurden schnell durch die Schiffe der ""Sophia""-Mission übernommen und mussten nicht mehr das Ertrinken befürchten.""  Oh, fühlten Sie sich in Ihrer ""Absaufen! - Absaufen! - Party"" gestört? ",1
"Die ganze Thematik wurde rein ideologisch anstatt technisch durchdacht angegangen.  Ist aber als Ingenieur nicht mehr mein Problem.   Sondern das, einer Germanistin im Bundesumweltministerium.  ""I've done my work."" Nach mir die Sintflut.  (Schmunzel, schmunzel)",0
Wie kann man soviel Geld ausgeben? Da können alle Eberl Anhänger vor ihrem Eberl Schrein knien und beten dass es gut geht. Hilft aber nix,0
"Gut so, wer mag denn auch noch in einer Partei sein, die von einem Bauernmädel aus der Eifel geführt und von einem Pampers tragenden Juso verführt wird. Die Granden der SPD würden nicht anders handeln.",1
"Da sitzt sie, die Inkompetenz in Person von Tick, Trick und Track. Schön wie sie sich lieb anschauen. Würde man, wie im Comic, eine Sprach oder Gedankenblase dazu setzen, würde der Inhalt wahrscheinlich wie folgt lauten:  ""Ich/Wir machen was wir wollen, egal was der Wähler will"" oder,  ""Super, jetzt haben wir aber wieder alle ganz schön verarscht""  ",1
"Sie hat ja in vielen Punkten Recht, aber die aktuellen Arbeitzeitmodelle sind zu einschränkend für Projektarbiet und Wochendpendler; so kann man nichtmal realistisch eine 4-Tage Woche hinkriegen, wenn man am Arbeitsplatz befindliche Arbeitsmittel benötigt; da wäre mehr Flexibilität schon schön. ",0
"Gestern war ein Fernsehbericht (ZDF?) über islamische Haßprediger: Das Interview mit dem Zuständigen vom Innenministerium ließ mich glauben, die Irrenastalt früherer Zeiten hat sich auf ganz Deutschland ausgedehnt. Die Politiker liegen in der Abteilung für die schwersten Fälle, großteils unheilbar. ",1
Was will man auch vom Amt für Verkehrsmanagement erwarten - nichts! Zuschke ist halt unfähig.,1
"Was ist das Motiv?Ganz einfach,der kommt in Knast oder Klapsmühle und ist dann so lange in Deutschland daß er bleiben darf,Im Gefängnis lebt  er besser als in einer Lehmhütte.Nächste Wahl,,,,ich bin dabei.",1
"„Das Problem ist, dass wir es mit einer Elterngeneration zu tun haben, die aufgehört hat, ihre Kinder zu erziehen. Das trifft nicht nur bei der Badebekleidung zu. Das Dilemma fängt an, wenn Mütter behaupten, sie seien die beste Freundin ihrer Tochter.„  Einer der wenigen sinnvollen Kommentare zu diesem Thema. Der Rest müsste einen ob der simplifizierten und teilweise dümmlichen Weltsicht der Kommentatoren eigentlich erschrecken. Tut es aber irgendwie schon lange nicht mehr !",0
"So war es doch schon immer. Verlustmeldungen auf dem Arbeitsmarkt waren schon immer Siegesmeldungen an der Börse.  Die Arbeitnehmer der Deutschen Bank, die ihren Arbeitsplatz verlieren werden, fallen dann der Solidargemeinschaft zur Last.  Was machen eigentlich die Herren Breuer, Ackermann und Jain, die die Deutsche Bank ih ihrem Größenwahn und ihrer Gier nach Boni gegen die Wand gefahren haben.  Diese Herren gehören vor Gericht gestellt. Aber die Schweiz liefert ja nicht aus!",0
"Das geht leider voll auf die Kappe von FF.  Er hāte sehen müssen das Niko total platt war und unbedingt hinten umstellen müssen.  Schade ,ein Punkt war drin. Egal, dann holen wir halt 3 gegen Wolfsburg. 95 olé",0
"Vielleicht bin ich ja ein Außenseiter ??? Aber ich möchte an dieser Stelle mal allen RWE-Mitarbeitern dafür danken, dass sie  mir seit vielen Jahren eine unterbrechungsfreie Stromversorgung bereitstellen. Ich hoffe, dazu sind  demnächst die FFF-Kids und ihre Lobby - nach Stilllegung der Kohlekraftwerke - auch in der Lage. Dann werden ja statt der alten weißen Männer, junge farbige Frauen für das Management des Stromnetzes die Verantwortung tragen.  Na, denn Prost !",1
"Zum Glück gibt es für solche Fragen ja Beatrix von Storch, die ihr Leben lang dafür gekämpft hat, dass ehemalige adelige Grundbesitzer ihren Besitz zurückerhalten. Aber jetzt hat sie gerade keine Zeit, sie muss sich ja um die Partei der kleinen Leute kümmern. ",0
"Eine ""Wahl"", bei der das Ergebnis schon vorher feststeht und eine in Deutschland abgegebene Stimme viel weniger Gewicht hat als  z.B. eine in Luxemburg abgegebene, ist keine Wahl. Ich werde es vermeiden, diesem Ereignis durch meine Teilnahme den Anschein der Legitimität zu geben und rufe dazu auf, die Europawahlen zu boykottieren.",0
"Will nich reden? Beugehaft, wenn muß auch 10Jahre lang. Das Opfer hat auch Recht auf Wiedergutmachung.",0
"""Das Abitur war zu umfangreich, zu unterrichtsfremd und an manchen Stellen bei Fragestellungen ungeschickt formuliert“   Eine Schulklasse besichtigt einen Bauernhof. Sie fragen den Bauern, wie alt er sei. Er antwortet: Wenn ihr bei der Anzahl meiner 121 Tiere auf dem Hof die Wurzel zieht, und das vervierfacht, erfahrt ihr mein Alter.",0
"Ich würde mir mal einen Oberstaatsanwalt in Deutschland wünschen, der genauso hart gegen diejenigen Clans vorgeht, die Cum-Ex-Betrügereien in Milliardenhöhe betreiben und ebenfalls in Protzkarren rumfahren bzw. sich fahren lassen. Aber so etwas wird man in Deutschland niemals erleben.",0
Mit welchen Methoden soll das denn geschehen?,0
"Der böse, böse Breitner.  Wie kann er auch diesen soooo tadelosen und ehrwüdigen UH soooooo böse in die Ecke stellen. Zitat: ""Es sei ein Versuch gewesen, seinen tadelosen Ruf als Manager, Vorstand und Präsident zu schädigen"". Sorry, aber hat dieser UH dies nicht schon längst selber gemacht?  ",0
"Hoeneß und der FC Bayern sind nicht mehr ernst zu nehmen!  Der FC Bayern nimmt schonungslos Sponsorengelder von Qatar ein, wo doch bekannt ist, dass dieses Land (eine Diktatur) islamistischen Terror und den fundamentalistische Ansichten des Islam verbreitet.  https://kopp-report.de/profiteur-von-katar-millionen-fc-bayern-mu%CC%88nchen-agiert-als-islamischer-wegbereiter/",1
"Er ist ein unglaublich zynisches, arrogantes Ar......h! Und wenn es nicht die Benimmregeln der RP (zu Recht) geben würde, würde ich jetzt noch mehr ... Als Deutscher habe ich einmal mit Stolz und Dankbarkeit eine amerikanisch/deutsche Flagge als Anstecker getragen, erhalten von der amerikanischen Botschaft in Berlin; ich habe sie inzwischen zurück geschickt, mit dem Hinweis auf den Präsidenten der USA!",1
"ich warte auf den tag, wo die ersten hasstiraden gegen verdi losgeschossen werden. die verdileute ticken doch schlichtweg nicht mehr richtig. da macht man mal schnell nen kursus von 23 monaten und kriegst für's befummeln anderer menschen 20€ die stunde !!!! über das doppelte also des mindestlohnes für menschen die sich wirklich den buckel krummschuften. ",1
"Als Redakteur hat man es heute auch nicht einfach mit einer politischen Wunschberichterstattung: Einerseits muss man den Lesern vermitteln, dass das Land immer sicherer wird - andererseits muss man die Forderungen der Polizei hinsichtlich mehr Personal und einem drastischer Ausbau ihrer Rechte wegen zunehmender Gewalt verkaufen.",0
Die Gedankenvermüllung mittels Medien geht munter weiter.,0
"Die Hamas sollte ihre Angriffe auf den Flughafen von Tel Aviv konzentrieren. Damit die Israelis lernen, was die Palästinenser und zeitweise auch die Libanesen erdulden mussten: wie es ist, von der Außenwelt abgeschnitten zu sein. ",1
"Nun denn, von der Leyen hat es geschafft, denkbar knapp. ich wette, Sie wird kaum eines ihrer Versprechen, die sie vorher abgegeben hat, einhalten. Von der Leyen ist neben Weber die denkbar ungeeignetste person für diesen Posten. Sie wird Europa sicher nicht gut dienen können. Man kann nur hoffen, dass sie kein solches Desaster, wie sie es  mit der Bundeswehr hinterlassen hat, nicht auch noch in Europa hinterlässt. Ich bin überzeugt dass sie Kommissionspräsidentin NICHT kann.",0
Spielt die Borussia weiter so einen Graus dann hilft vielleicht Trainer Krauss.  Schlimmer geht's nimmer.,0
"„Ich bin kein Kostüm!“ und ""Die Idee stammt aus den USA."", also aus dem Trump Land. Dies sagt doch schon alles aus über diesen Schwachsinn. Aber auch in Deutschland gibt es immer mehr Schwachsinnige. ",1
