text,label
"für wahnsinn menschen passt ändern brauche gesetze einschränkungen bevormundungen erziehen volk lebensunfähigen menschen	",0
"aha überzeugter radfahrer meldeportal für falsch behindernd fahrräder eddys stehen liegen masse fußgängerwegen behindern daß gefahrenstelle für senioren mütter kinderwagen kinder darstellen	",0
"wissen vermieter zukünftig zukommt spätestens	",0
"duldungen steuerpflichtigen ausnahmen	",0
"landung uhr gepäckausgabe ab gepäckbändern stillstand hunderte passagiere warteten teilweise länger gepäck gegensatz bericht infos serviceschalter kostenlose getränke koffer uhr freitag wartezeit std flughafen dus	",0
"drehhofer bundesinnenministerium stehen voll arbeit bfv haldenwangs vorgaenger cordt bamf geneigt ergaenzen lange	",0
"rotrotgrün europawahl bremen verloren großer verschiebebahnhof stimmen rotgrünen lager wahlverlierer regieren d normal	",0
"fangruppen gewaltpotenzial vereinen denke vereine konsequent linie verfolgen privilegien aberkennen fangruppen korrekt verhalten fc köln anhängern borussia fangruppen auffallen sowas inakzeptabel vereinsschädigend gehört	",0
"kerosin bedeutet abgase deutsche umwelthilfe einschalten dafür sorgt maschinen elektromotoren düsseldorf starten dürfen	",0
"meinte nikolausereignis	",0
"lindner gemeint fachleute erwachsenen	",0
"liebe stadt für sowas mittel zwangsverwaltung kräftig personal sparen müsste geld cafe velo verlusten zzgl entgangenen mieteinnahmen jahr tdf für hobby dafür kapazitäten	",0
"lobbyisten belagern berlin deutschen bundestag räumen bundestages hotels restaurants berlin führen etablierten politiker lobbyisten informative sachliche seriöse gespräche fließt geld schuhplattler plattling	",0
"problem zukünftigen flugtaxis öfters überschriften artikeln scheuer gesetze für flugtaxis alte gesetze weis sachen spielzeugdrohnen	",0
"frage schlimmer beteiligten erlaubte veröffentlichung videos über freudiges tanzen geschlossenem raum väterliche erklärung verbundene anweisung sächsischen polizeipräsidenten	",0
"ryanair fliegen skandale schlau gier billigen flugpreisen verdirbt	",0
"linken müßte düsseldorf umdenken flughafen hälfte verkleinern abreissen verstehe herrschaften einstellung falsch	",0
"exkanzler kohl verschwieg namen parteispendern stellte ehrenwort über grundgesetz hoher politiker persönliche belange wichtiger gesetz ordnung straffrei affäre moralischen schaden gesellschaft auslöste wirkt gegenwart	",0
"journalismus ecke lobhudelnder gesinnungsmerkelianer äußern selbstverständlichen standpunkten weiß gott trump stirn bieten sonder job für gewählt bezahlt	",0
"radfahrer für lösung bedanken spur taxis wahrscheinlicher über rennspur freuen ausparkende abbiegende autos funktionieren präferierte ausweichroute für autoverkehr führt übrigens zufällig über corneliusstraße umweltspur verschlechterung messwerte führt schelm böses denkt	",0
"für galt unschuldsvermutung für medien	",0
"zeitungen über schreckliche	",0
"aktiv facebook twitter instagram wundert daß presse nachlädt wz rpo erobert richtig fett sympathien deutschen gastgeber rheinbahn	",0
"mint benötigt religion raus schule sache kirchen stellen personal besetzen schülern beibringt land zukunft	",0
"winterwind versucht verstehen einsehen	",0
"könnte trump sachen krieg wesentlich rationaler argumentiert handelt vorgänger wesentlich sachlicher regiert deutschland weis	",0
"unterirdisch außerirdisch liga eh operette jahren aufsteigen verliert reine hobbytruppe neuss spielt halle	",0
"ff für absolut indiskutabel gesetzt dafür goalgetter ball reinmachen zweiten liga bestens funktioniert tore bundesliga evtl spielfeld größer	",0
"schmerzensgeld höhe dollar gizmo amerikanischen horrorkomödie monster gestylte hund verdient dafür sorgen großen monster	",0
"unrecht inhaftiert	",0
"antwort zebrastreifen falsch parkverbot zebrastreifen antwort c richtig	",0
"kandidat annähernd chance schlechtesten zeiten amt jagen kandidat elizabeth warren mögliche kandidaten genannt können willkommen hauptsache kandidaten schaffen ertragenden abzulösen	",0
"özil launisch berechenbar außerdem ständig managern beeinflusst kopf fußball geschäfte eitelkeiten özils fußballerischen leistungen schwanken belastet verhältnis trainern mitspielern fans italiener schließlich türkei	",0
"bombenentschärfer sichtachse	",0
"interessant aufhält geschäftlichen tätigkeit nachgeht armes	",0
"ach practicus leier thema wichtiger wäre merkel weidmann spitze ezb	",0
"mehrheit volkes märchenerzählern panikmachern nase herumführen spd partei mannes arbeitnehmer grüner politik heftigsten kasse gebeten außerdem friede freundschaft eierkuchen aussenpolitik betreiben	",0
"sparen tschüß europa	",0
"ergebnis erwartet diletanttischen vorgehen bundesverkehrsministeriums urteil für überraschend	",0
"evangelische kirche	",0
"autofreien wohlfühlzone richtig kürze leerstand wirtschftlich sinnvolles bürgerfreundliche entscheidungen erzwingen nächsten wahlen	",0
"liebe dunz ordnen cdu spd leser volkspartei boden realitaet gelandet prozent faengt volkspartei gefahren wahljahr volkspartei hinzukommen	",0
"schleierhaft steuer ausstoß verringern wäre schön maßnahmen zig millionen finanzieren genannt würden riecht momentan abkassieren	",0
"zivilen ungehorsam versuchen erreichen glaube wahlen herbst	",0
"forum neiddebatte leistunsträger ausbricht	",0
"energiewende kostet maximal kugel eis monat grüner erzählt	",0
"christlich denkender handelnder mensch vorfälle katholischen kirche jahren kirche ausgetreten glaube reihe guter argumente dereinst himmelspforte stehe einlass erbitte liebe gott vergibt mensch	",0
"groko zeit zerreissprobe nehme schnelle verabschieden mehrheiten umstaenden verschieben	",0
"kuh eis kunde pünktliche saubere funktionierende züge zählen	",0
"leben land massiv zensiert behörden medien bemüht politischen erwartungshaltung entsprechen meldungen skepsis aufnehmen attentäter münchen ali daout medien david genannt	",0
"zutiefst geschockt handschrift sportvorstand glück	",0
"bauart stadions dauerhaft robuster rasen möglich doppelte ausgeschlossen	",0
"taugen gesetze unklar monaten wetterbedingungen gericht geprüft na wünsche klägern	",0
"stadt cdu froh mitdenkt verein vorausschauend plant unterstützen investition blockieren wünscht zuständigen personen	",0
"ansicht kriminelle clans behörden polizisten einschüchtern wundert milde gerichtsurteile ausfallen vergewaltigung mord würde lohnen kulissen	",0
"jan böhmermann verlängert vertrag zdf für hinweis sender einschalten	",0
"deutschland katar lief läuft geschmiert fussball sport menschenrechte grosse geld widerlich	",0
"mädchen gesamte familie gewalt leuten maulkorb verpasst	",0
"spielt borussia graus hilft trainer krauss schlimmer	",0
"sicherheit tuen ortsfremder geblitzt weiß sicherheit tuen staatskasse füllen	",0
"komisch müllkosten steuern geringer steckt kohle	",0
"fortuna düsseldorf dfb zeichen bundesweites stadionverbot	",0
"angaben libyschen regierung aktive schleusergeschäft mitwirken migranten flüchtlingsbooten verstecken na können beruhigt schlafen	",0
"sozialistischen ideen mottenkiste karl marx co wirksamste für spd dümmsten kälber alte weisheit wählen metzger möchte gehören	",0
"abschaffen nutzungsabhänige steuern einführen besondes luxusgüter bereit für handy bezahlen nochmal steuern drauflegen autos parfüm	",0
"netzer hall of fame overath gedacht aufschrei über brehme streiten gehört bedeutensten deutschen fußballspielern hätte schamhaft feigenblatt mannschaft wählen können	",0
"artikel spricht herzen häufig bislicher wald mehrmals schwarzwild b bergen hunden gehetzt über straße liefen überfahren wald naturschutzgebiet hunde zwingwnd angeleint	",0
"leute darüber stehen über anamache gehe	",0
"ach gott regen traufe herrn laschet bk schlimmer	",0
"grenell parade marschieren chefs wähler wohnen	",0
"düsseldorfer klüngel	",0
"flashmob usa boese ausgehen militaerisch streng geschuetzte bereiche handelt ford knox mobber vorsichtig	",0
"herren damen bankern ausgehen hornberger schießen getöse lächerliche strafen	",0
"dachmebran kostet eur regelmäßiger reinigung jahren verschlissen jahre busbahnhof für monate gesperrt dach erneuert jahre stadt mind eur erhaltung daches investieren verkehrssicherheit gewährleisten über kosten regelmäßigen spezialreinigung erfährt artikel wahrhaftig nachhaltige lösung	",0
"herausragende rede zeit wichtiges gedenken schlimmste zeit deutschen geschichte kritik israelischen politik antisemitismus diffamiert	",0
"hätten angeklagten nürnberger prozessen richter gewünscht ähnlich denkt hätten erzählen können gräueln gewusst hätten glaube nordkorea passiert kim weiß angeordnet	",0
"schließlich dame kostenlose pr hoffentlich kranken aktion karriere versaut für rechtsanwalt alte werte anstand ehre treue menschen moral füßen getreten mandantin zuhause öffentlichkeit	",0
"wundert kommentare	",0
"schön richtung parteiführung bundesebene nächsten auftragskrieg dienste usa zustimmt spd retten ebensowenig hilft klimaschutzpaket totalversagen beteiligt	",0
"sprache spiegelt weltsicht menschen beeinflusst ständige hetze afd aktuell sprengstoffanschlag afd büro geführt	",0
"sicht größte umweltzerstörung kreis mettmann lärm steinbrechers werktags hören interessiert oetelshofen gelungen veranstaltungen berichterstattung abzulenken unwiderbringlich wälder zerstört naturschützer uhus besänftigen hambacher forst gruiten	",0
"deutschland kritiker israelischen siedlungspolitik antisemiten abgestempelt ähnlich kritiker clanwesens zuwanderungsbedingten kriminalität für nazikeule parat	",0
"artikel vorbereitet warte land nämlich stau verursachenden	",0
"nachvollziehen angesichts polizisten rettungskräfte mtlw dulden miterleben müssen rechtstaat vielfach lage durchzusetzen nrw berlin clan kriminalität aktuelle abschiebepraxis land polizisten meinungen sympathien dürfen demokratie	",0
"kommentarforum geöffnet versehen	",0
"herr laschet ränkelspielen berliner politarena gewachsen lasst düsseldorf	",0
"mengenrabatt für kiste verbrecher ps audis amg liter mercedes ford trecker reicht	",0
"haushaltsplan müssen euro verwarnung investiert personalkosten schlagen buche personalkosten empfehlen tiefsten hildener süden vorzudringen falschparker notieren lukrativer vergangenheit mengenabfertigung kommunionstermine verehrte mitarbeiter achten hundehaufen	",0
"petera unterschreiben erhöht mags abladestellen unverschämt skandal frag kontrolliert sowas mönchengladbacher stadtabgeordneten angst nächsten wahlen wäre denkzettel angebracht bezahlen stimme abgeben	",0
"schade mietverträgen hätte gebäude	",0
"mädel hilfe motto vorgegangen monate kerker manieren beibringen jahrhundert strafkammer steckengeblieben	",0
"für kundschaft	",0
"provokation halter provozieren luxussportwagen marschstrecke gestellt kundgebungsteilnehmer park gezogen	",0
"flugbereitschaft abschaffen genu linienflüge flüge lange planbar	",0
"einführung unpopulären tempolimits höhere abgaben treibstoff frankreicht ausgeöst wächst verdacht deutschen umwelthilfe tarnorganisation rechtsnationalen deutschen partei handelt aufgabe land chaos stürzen parteil heilsbringer übernehmen	",0
"dachte abtauchen	",0
"idee super hilfreich wäre stadt düsseldorf hierfür flächen ausweist darüber informiert baumart jeweils angepflanzt	",0
"höchste zeit autos wegkommen keins	",0
"schöne aktion zirkus roncalli unschön erwachsene reihe kindern sicht verwähren	",0
"gewinnt über besten geheimdienst welt mossad	",0
"eü de welt interessieren deutschland	",0
"heuchelei erwin sperrmehrheit verkauft einflussnahme nachtrauern mitspracherecht mio euro aktive stadtteilpolitik umsetzen glaubt cdu gedächtnis düsseldorfer kurz	",0
"image deutschen parfums gefährdet haha sooo düsseldorf	",0
"mittwoch märz uhr für	",0
"zitat einstigen volksparteien niedrigem niveau stabilisiert grund anzunehmen volksparteien stabilisiert zwischenergebnis	",0
"möglich könnte schaffen fürth nürnberg nürnberg münchen adler ice würde	",0
"hoffentlich daimler wahljahr genauso	",0
"gewinnt schwierige spiele herr übungsleiter	",0
"müllanfall verringert schwimmt angeblich stränden karibik schwimmt problem hierzulande dualen system befinden für fachgerechte entsorgung recycling zahlen aufpreis scheint duale system gescheitert traut	",0
"versuch fragen jugendliche hamburg begleitung eltern aktivisten hamburg flugzeug auto fahrrad fuß ankunftsort darüber hinaus polizeiliche begleitung eskorte demnächst bundesländern freitags schule geschwänzt tolerieren verantwortlichen landespolitiker handeln	",0
"nächste projekt verbrauchern über qualitäten lebensmitteln ärgern für gewünschte produktsicherheit natürlich gerne ausgeben würden kommenden augen produkte verschiedener discounter neuling verglichen schlecht	",0
"zugreisenden düsseldorf gebäude richtung krefeld venlo	",0
"unfähigste zeiten tag amt unerträglicher nachvollziehbaren dummdreisten willen bau verd mauer durchzusetzen kündigt narionalen notstand amerikanische volk senatoren parlamentarier stellen offiziellen antrag amtsenthebung für tragbaren poltergeist	",0
"markus kosma dörfer aufzählen tagebau vernichtet ahnung welt außerhalb rwe	",0
"minuten eingeschaltet zeit timmermans moderatorin gebeten aussage weber einzugehen wusste streitgespräch sparen	",0
"derby enttäuschung groß	",0
"unsinn akk cdu sollerst hausaufgaben erledigen deutschland erledigen verspricht usa verstärkte militärische zusammenarbeit namen	",0
"wuerdiger nachfolger wundert spd wundern grossparteien mitglieder weglaufen sigmar kriegt hals voll trotz mdb politikverdrossenheit buerger tag tag verstehen	",0
"aufmerksamkeit erlangt überflüssige geschwafel medien incl lektüre thema annimmt darüber	",0
"hoffe daß bürger serviert prima sache	",0
"spekulieren brexit fertigstellung ber überlege geld täglich kostet hätte können	",0
"möglichkeit gebäude moscheeverein veräußern vereine treffen hintehofräumen kirche hätten endlich würdigen raum allah verehren	",0
"richtiger schritt interpretiere hinweis verbot fußt attacken ausgerufenen ausnahmezustand daß verbot dauerhaft	",0
"anzeige fahrerin warmlaufen motors stand ungenügende fahrzeugsicherung fahrzeug warm zurück	",0
"woche moment spitzenteam	",0
"respektloses verhalten gegenüber staatsdienern gestiegen	",0
"na diesmal deutschland verbrüht schonmal entwicklungsstufe	",0
"schön amazon bestreikt na interessiert amazon sicherheit allerwenigsten bestellungen versandzentren verschicken angrenzendem	",0
"wähler jahren endlich eingesehen spd mist grüne exsed reiner machtgier putschen wählerwillen dahinsiechenden spd moral sprechen	",0
"haftar jahre sturz gaddafis usa abgesetzt cia nützliche helfer gedient stellt frage rolle usa konflikt usa anbraumten garnitur	",0
"besten entschwindet beraterin vereinten nationen rest welt segensreich beglücken nächsten billionen kosten	",0
"rechnet art ferienzeit ab schließt wochenenden sa nettes sümmchen über tag raus wunder leiter hungertuch	",0
"halt fakten für meinungen menschengemachten klimawandel kriminalität rückläufig deutschland profitiert stärker land eu all anhand objektiver fakten nachweisbar leben können aufschreien jammern alternative scheinwirklichkeit seriösen medien vorkommt	",0
"partei gesicht einzelperson beschränkt wählbar egal flotten sprüche nrw beste beispiel lindner hören	",0
"denk deutschland	",0
"cerry ball fff s ferien flieger wissen unterstellung wäre wassereimer schleppen helfen natur hilfe hilfe eimer geschleppt	",0
"zuwanderung falsche wort invasion trifft zutand scharen leute plündern sozialsystem punkt ab zahlt arbeitnehmer rente für rentner rentenempfänger ausgelost laufen sparten aushelfen	",0
"merkwürdiges land leben offenbar reaktion sozialen netzwerken ausgelöst anschließende kommentar polizei wahrscheinlich angeführt linke sprich straffrei gebliebenen verbrechen ablenken	",0
"verbietet duh schränkt gewaltig reisen reden schädlich für umweltbelastung reden atme verbrauchte luft	",0
"selten freund wicken erstmal spiel schauen geistreichen kommentare postet fdwicken abseitstor glückwunsch zuschauen fehler	",0
"klimapakt klingt	",0
"schlimm auswirkungen rechtsradikalismus gründe für poller nazis	",0
"berlin ber hamburg philharmonie nrw polizeipräsidium düsseldorf geld raus beamten vollversorgung	",0
"aussehen halt individuell geschmackssache gefällt für begeistern abfinden fotos öffentlich postet	",0
"träum jonas leistungen träume frage weitergeben sinnlos läufen ironie	",0
"clientelpolitik profil drängen problemen	",0
"müssen abschalten dauerhaften afd hass	",0
"probleme jahren bahn kaputtgespart börse folgte ständige wechsel managements staat unterstützung herr pofalla freundlichen	",0
"osten stärkste kraft westen stimmenanteil kontinuierlich zurück söder afd westen zenith überschritten afd partei gesellschaftlichen modernisierungsopfer wohnen osten	",0
"geisel zukünftige maßeinheit für dne kleinsten abstand fettnäpfchen	",0
"allerhoechste zeit politischen brandstifter eu verschwinden frischer wind winterwind durchs parlament weht schlimmer destabilisierung deutschlands europa schreitet politik merkel wirtschatfssanktionen	",0
"cooles video provokant cool wünsche damen erfolg wm	",0
"natürlich verteidigt pakt wahrscheinlich mist gewachsen fehler flüchtlingspolitik rückwirkend legitimieren	",0
"außenstehenden bemüht fair sachlich kommentieren spekulationen vermutungen außen fortuna erreicht saison können stolz	",0
"onkel bosz dortmund gewinnen ziel rückrunde	",0
"mittlerweile lieben tierchen unendlichen geschichte stadt traut radikaler vorzugehen könnte tierschützern gehege	",0
"sag für tolle zeit für stammgäste dorf geleistet für wundervolle nachricht leben dorf weitergeht	",0
"schön	",0
"steuergeld kinderlosen für unterhalt schulen verwendet billiger popolismus gruppen gegeneinander ausgespielt endlich sorgfältiger anvertrauten beiträgen bürger wäre anfang endlich pflegpersonal deutlich entlohnen	",0
"aufregung herr hasselhoff runde eingeladen diskussion beteiligen außerdem aussage politiker hinsicht stören rumlabern passt hervorragend herrn lindner lieber verantwortung übernimmt lieber regieren falsch oberlehrermässig abzuqualifizieren bedenke arbeitet fehler	",0
"bezeichnendes bild erheben hand abwehr bürger	",0
"halte für üble nachrede können mitarbeiter hoffentlich notwenigen richtigen klagen dagen voll juristische finazielle unterstützung arbeitgeber hoffen	",0
"jahre dachte mädchen foto wäre kleine schwester	",0
"endlich harte konsequenzen appelle helfen passiert hingenommen für verantwortlichen wissentlich gesundheitliche schäden schlimmeres bewusst kauf wut parktplatzsuchenden bürgern schützen glück schlimmes passiert schauen lange	",0
"endlich initiative spende hierzu zusätzlichen baum bäume für leverkusen kontaktdaten zwecks rechnung schicke bürgerliste sodass wort	",0
"idee bundesebene beweis gestellt für exzellenter politiker	",0
"ach für großen kritiker steinkohle kraftwerke deutschland hauptsächlich ausstoß früher eingemottet kw kosten für steinkohle importiert kw wirkungsgrad regelbar	",0
"gewerbetreibende entscheiden dürfen leistung bezahlt bekommen möchte hinführt bundesregierung gewerbetreibe betriebsführung eingreift stichwort kneipensterben rauchverbot außerdem kartenzahlungsmöglichkeit verleitet konsumenten unnötig kaufen finanziell überhaupt lage	",0
"seenotretter helfer personen retten unverschuldet not geraten gehört hochachtung beileid angehörigen	",0
"ärzte limit patienten ernstlich krank gkv unterversorgt wirtschaftlichkeit arzt ärzte völlig überlastet können konzentrieren kassenpatienten arzt leitlinien könnten sachbearbeiter gkv abarbeiten ironie gkv weh angewiesen kostenerstattung wählen schlechte karten	",0
"dachte erziehungsideale wären grün positiv negatives tue	",0
"öffnet türe spalt ausgenutzt nachzuverfolgen stummen sms abfragen gerichtliche anordnung durchgeführt anfrage schnellen höhe staat fadenscheinigen vorwänden überwachung bürger generalverdacht gestellt interessant tempolimit für diskussion sorgt verschärfung	",0
"namen greta thunberg hören lebe äusserst	",0
"führt hurra täter armes opfer einbildung wirklichkeit normal über hetzjagden werbeplakate ewig aufregen angemessen	",0
"einreiseverbot okay kosten arbeitnehmer firmen boykott starten geschmacklos geld arbeitslosigkeit eventuell kosten für insolvenz	",0
"trump schrieb später twitter iran langem heimlich angereichert atomabkommen verstoßen glaubt lügner	",0
"über quereinsteiger verhindern denken akademisch großes problem homogenisierten masse lehrer fachhochschulen studierenden polizeivollzugsbeamten	",0
"möge dokument geschwurbelste englisch untergekommen kritikern erklären bindenden erklärung wörter verpflichten verpflichtet pflicht vorkommen	",0
"jahren teuren tunnel stinkenden lauten pkw	",0
"trendwende migrationspolitik erreicht felix austria beneiden frischer wind politik alte muff grusel	",0
"ernsthaft geglaubt konverter osterath infrastruktur vorhanden amprion investiert jahre osterath zugesichert wäre konverter hinkommt widerstand politik vornherein abgekartetes spiel	",0
"radfahrer fällt behindernde radfahrer sinn umweltspur für öpnv überholen drecksspur rücksicht bürgersteigen zulassen radfahrer	",0
"bank amerikanischen ermittlern arrangieren bedeutet deutsche bank verluste produziert endes deutsche bürger bankkunde steuerzahler trägt bevölkerung aufgelastet	",0
"gedanken gebete opfern hoffentlich anschlag	",0
"qpark hätte günstiger sanieren können kassieren einfacher	",0
"the show must go on	",0
"egal haare schoen	",0
"klasse endlich positive nachricht	",0
"überflüssigen arztbesuche abschaffen dauerhaft medikamente benötigt rezept zwingend unnötigen arzttermin quartal ländern klappt	",0
"oktober lachhaft gearbeitet überzeugt berliner flughafen	",0
"unfassbar unflexibel autofahrer bereit für stellplatz bezahlen wenigsten über flächendeckende parkraumbewirtschftung anwohnerparken	",0
"wortbeiträge spd aktuellen stunde deutlich welch desolatem zustand spd strategie verleugnens verdrehens verschweigens kurs fortgesetzt sturz geführt spd leid	",0
"überflüssiges gegentor kassieren problem problem torausbeute trotz torchancen für spiele glückliche gewinner abends mainzer torwart tore verliert	",0
"jesus anhänger verehrer gläubige großartigen menschen beziehen spätere entwicklung kirche urchristentum verhängnisvolle entwicklung kaiser konstantin überzeugter	",0
"party für kind für auftritte verhalten cardi b stimmt spruch you can take the girl out of the ghetto but you take the ghetto out of the girl mädchen ghetto holen ghetto mädchen	",0
"gebe dreien maximal	",0
"jepp seh genauso außend kommend vorkenntnisse bezug verein reingearbeitet geschwindigkeit präsenz sucht bezug vertragsverlängerung friedel blöd gelaufen schwamm drüber lieb richtig falsch fortuna	",0
"staat erwirtschaftet rekordüberschuss demokratischen leistungsfähigen bürger steuerzahler geschaffen staat verhindert bürger persönlichen leistung überwiegend alimentierung umverteilung für	",0
"universität heißt flughafen namen krankenhaus schulen abfallumladestelle	",0
"endlich lichtblick braunen schwarzen grauen unmöblierung weiß farbe schlechthin auge freude bereitet schmückende beiwerk s sommergefühl pur blauer himmel bunte sommerblumen weiße unschuld spender weißen blumenpötte meißner porzellan ersetzt nörgler beruhigt tattooisten stehen	",0
"hennings gerne hängt voll rein dürfte tore schießen hoffenheim hätte dafürhalten tor schießen müssen mangelnden schnelligkeit übersicht passgenauigkeit wäre spitzen aufgehoben	",0
"sowas rechtspopulisten einfallen polen regieren	",0
"dunkelen keller vorhandene schwarze katze gesucht	",0
"los bereit wars für knall warten scheinheiligen sprüche hageln ersetzbar bundeskanzlerin merkel	",0
"gewerkschaften verfolgen streik eigennutz kurzfristigen aktionen mitglieder zeigen beiträge investiert nichtmitglieder aktionen genötigt gewerkschaft einzutreten für einzigen glaubhaften argumente für	",0
"wolf entnahme sichern	",0
"gastarbeiter jahren zutuns kamen aufbau gutes beigetragen für für familien spielt rolle außerdem esskultur bereichert schlaumeier würden wahrscheinlich cappuccino sahnehaube trinken	",0
"zeigt kirche verdachtsfälle überlässt ermittlungen fdie ahnung nämlich staatsanwaltschaften kiche verbergen	",0
"hm vorstellen fortuna mio für talent ausgeben kicker leihe kaufoption mio	",0
"punkten aktuellen arbeitzeitmodelle einschränkend für projektarbiet wochendpendler nichtmal realistisch woche hinkriegen arbeitsplatz befindliche arbeitsmittel benötigt wäre flexibilität schön	",0
"nervös überfordert einfacher versprecher vorfall ablenkung versagen aufgegriffen politik jahren jahrzehnten versagt schlägt ergebnissen nieder wählen warnschuss suggeriert ergebnisse fakt zukunft negativer ausfallen politik endlich aufwacht	",0
"vermisse beatrix björn	",0
"nix analysieren über langen zeitraum sorgen nöte wünsche mitmenschen wähler konsequent ignoriert dafür sorgt portemonnaie füllen müsste fingern grund für schlappe abzählen können richtig konsequent wäre nahles verantwortung für desaster übernehmen abdanken würde hätte nötige achtung	",0
"typisch grüne spassbremsen ideologie passt niedergemacht grünen deutschland alleinige höchste zeit	",0
"bürger eller angermund steuern zahlen alimemtiern gehöhren personen für politiker stark für lärmschutz kämpfen	",0
